Metadata_Class,Metadata_Key
NegCtrl,59949139
NegCtrl,59949499
NegCtrl,59949874
NegCtrl,59950249
NegCtrl,59950264
NegCtrl,59950279
NegCtrl,59950294
NegCtrl,59950309
NegCtrl,59950725
NegCtrl,59951085
NegCtrl,59951460
NegCtrl,59951835
NegCtrl,59952311
NegCtrl,59952671
NegCtrl,59953046
NegCtrl,59953421
NegCtrl,59954905
NegCtrl,81514819
NegCtrl,81515194
NegCtrl,81516405
NegCtrl,81516780
NegCtrl,81517155
NegCtrl,81517455
NegCtrl,81517991
NegCtrl,81518366
NegCtrl,81518741
NegCtrl,81519041
NegCtrl,81519922
NegCtrl,81520297
NegCtrl,81520597
PosCtrl,03045875
PosCtrl,03046250
PosCtrl,03046625
PosCtrl,03047461
PosCtrl,03047836
PosCtrl,03048211
PosCtrl,03048556
PosCtrl,03049045
PosCtrl,03049420
PosCtrl,03049795
PosCtrl,03050140
PosCtrl,03122409
PosCtrl,24946213
PosCtrl,59624022
PosCtrl,66103929
PosCtrl,66104364
PosCtrl,66104724
PosCtrl,66193840
PosCtrl,66194215
PosCtrl,66194590
PosCtrl,66194845
PosCtrl,66195419
PosCtrl,66195794
PosCtrl,66196154
PosCtrl,66196439
PosCtrl,69138754
PosCtrl,69139129
PosCtrl,69139504
PosCtrl,69141269
PosCtrl,81356752
