Metadata_Class,Metadata_Key
NegCtrl,59949154
NegCtrl,59949514
NegCtrl,59949889
NegCtrl,59950249
NegCtrl,59950264
NegCtrl,59950279
NegCtrl,59950294
NegCtrl,59950309
NegCtrl,59950740
NegCtrl,59951100
NegCtrl,59951475
NegCtrl,59951850
NegCtrl,59952326
NegCtrl,59952686
NegCtrl,59953061
NegCtrl,59953436
NegCtrl,59954920
NegCtrl,81514834
NegCtrl,81515209
NegCtrl,81516420
NegCtrl,81516795
NegCtrl,81517170
NegCtrl,81517470
NegCtrl,81518006
NegCtrl,81518381
NegCtrl,81518756
NegCtrl,81519056
NegCtrl,81519937
NegCtrl,81520312
NegCtrl,81520612
PosCtrl,03045890
PosCtrl,03046265
PosCtrl,03046640
PosCtrl,03047476
PosCtrl,03047851
PosCtrl,03048226
PosCtrl,03048571
PosCtrl,03049060
PosCtrl,03049435
PosCtrl,03049810
PosCtrl,03050155
PosCtrl,03122421
PosCtrl,24946229
PosCtrl,24946245
PosCtrl,59624037
PosCtrl,66103944
PosCtrl,66104379
PosCtrl,66104739
PosCtrl,66193855
PosCtrl,66194230
PosCtrl,66194605
PosCtrl,66194860
PosCtrl,66195434
PosCtrl,66195809
PosCtrl,66196454
PosCtrl,69138769
PosCtrl,69139144
PosCtrl,69139519
PosCtrl,69141284
PosCtrl,81356767
