Metadata_Class,Metadata_Key
NegCtrl,59948869
NegCtrl,59948884
NegCtrl,59949229
NegCtrl,59949244
NegCtrl,59949604
NegCtrl,59949619
NegCtrl,59949979
NegCtrl,59949994
NegCtrl,59950470
NegCtrl,59950815
NegCtrl,59951205
NegCtrl,59951580
NegCtrl,59952056
NegCtrl,59952416
NegCtrl,59952791
NegCtrl,59953166
NegCtrl,59954650
NegCtrl,81514489
NegCtrl,81514564
NegCtrl,81514939
NegCtrl,81516075
NegCtrl,81516150
NegCtrl,81516525
NegCtrl,81516900
NegCtrl,81517661
NegCtrl,81517736
NegCtrl,81518111
NegCtrl,81518486
NegCtrl,81519667
NegCtrl,81520042
PosCtrl,03045620
PosCtrl,03045995
PosCtrl,03046370
PosCtrl,03047206
PosCtrl,03047581
PosCtrl,03047956
PosCtrl,03048301
PosCtrl,03048790
PosCtrl,03049165
PosCtrl,03049540
PosCtrl,03049885
PosCtrl,03119858
PosCtrl,24945957
PosCtrl,59623767
PosCtrl,66103719
PosCtrl,66104094
PosCtrl,66104469
PosCtrl,66191894
PosCtrl,66193480
PosCtrl,66193585
PosCtrl,66193960
PosCtrl,66194335
PosCtrl,66195164
PosCtrl,66195539
PosCtrl,66195914
PosCtrl,69138499
PosCtrl,69138874
PosCtrl,69139249
PosCtrl,69141014
PosCtrl,81356497
